Data Timestamp      ,q,V_ref,Alpha,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,P 21,P 22,P 23,P 24,Notes ,,,,,,,,,,
[yyyymmdd hh:mm:ss.sss],[mbar],[m/s],[deg],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],[mbar],,p1 ,p2,p3,p4,p5,p6p,p7,p8,p9,p10
20200217 11:27:02.156,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011.6,1011.6,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.6,1011.6,1011.5,1011.6,1011.8,,1010.671,1010.887,1010.818,1010.849,1010.884,1010.854,1010.885,1010.891,1010.935,1011.604
20200217 11:27:02.359,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011.6,1011.7,1011.6,1011.7,1011.7,1011.6,1011.6,1011.6,1011.7,1011.7,1011.6,1011.6,1011.5,1011.8,,,,,,,,,,,
20200217 11:27:02.625,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.6,1011.6,1011.6,1011.7,1011.6,1011.6,1011.5,1011.8,,,,,,,,,,,
20200217 11:27:02.843,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.6,1011.7,1011.7,1011.6,1011.6,1011.7,1011.6,1011.7,1011.6,1011.6,1011.4,1011.7,,,,,,,,,,,
20200217 11:27:03.046,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.7,1011.6,1011.7,1011.7,1011.5,1011.6,1011.5,1011.8,,,,,,,,,,,
20200217 11:27:03.250,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.6,1011.7,1011.7,1011.7,1011.5,1011.5,1011.5,1011.8,,,,,,,,,,,
20200217 11:27:03.468,0.5,9,36.1,1010.6,1010.9,1010.8,1010.8,1010.9,1010.8,1010.9,1010.9,1010.9,1011,1011.6,1011.6,1011.6,1011.6,1011.7,1011.6,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.6,1011.8,,,,,,,,,,,
20200217 11:27:03.687,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.8,1010.9,1011,1010.9,1011,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.7,1011.7,1011.6,1011.7,1011.6,1011.5,1011.5,1011.8,,,,,,,,,,,
20200217 11:27:03.890,0.5,9,36.1,1010.6,1010.9,1010.8,1010.8,1010.9,1010.8,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.6,1011.6,1011.7,1011.7,1011.7,1011.5,1011.7,1011.8,,,,,,,,,,,
20200217 11:27:04.093,0.5,9,36.1,1010.6,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.6,1011.6,1011.7,1011.7,1011.7,1011.5,1011.5,1011.7,,,,,,,,,,,
20200217 11:27:04.312,0.5,9,36.1,1010.6,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.6,1011.6,1011.7,1011.7,1011.6,1011.7,1011.6,1011.7,1011.7,1011.5,1011.6,1011.4,1011.9,,,,,,,,,,,
20200217 11:27:04.515,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.8,1010.9,1010.9,1010.9,1011,1011.6,1011.6,1011.6,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.5,1011.4,1011.7,,,,,,,,,,,
20200217 11:27:04.718,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.8,1010.9,1010.9,1010.9,1011,1011.6,1011.6,1011.6,1011.6,1011.6,1011.6,1011.7,1011.6,1011.7,1011.6,1011.5,1011.5,1011.6,1011.8,,,,,,,,,,,
20200217 11:27:04.937,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.6,1011.7,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.5,1011.6,1011.6,1011.7,,,,,,,,,,,
20200217 11:27:05.140,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1011,1010.9,1010.9,1011.6,1011.7,1011.6,1011.7,1011.7,1011.6,1011.7,1011.6,1011.7,1011.7,1011.7,1011.5,1011.5,1011.9,,,,,,,,,,,
20200217 11:27:05.343,0.5,9,36.1,1010.7,1010.9,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.6,1011.6,1011.7,1011.7,1011.6,1011.6,1011.6,1011.7,1011.7,1011.4,1011.5,1011.6,1011.7,,,,,,,,,,,
20200217 11:27:05.562,0.5,9,36.1,1010.7,1010.9,1010.9,1010.9,1010.9,1010.8,1010.9,1010.9,1010.9,1011,1011.6,1011.6,1011.6,1011.6,1011.7,1011.6,1011.6,1011.6,1011.7,1011.7,1011.5,1011.7,1011.7,1011.9,,,,,,,,,,,
20200217 11:27:05.781,0.5,9,36.1,1010.7,1010.9,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.6,1011.7,1011.7,1011.7,1011.6,1011.6,1011.7,1011.7,1011.4,1011.5,1011.5,1011.9,,,,,,,,,,,
20200217 11:27:05.984,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.6,1011.6,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.4,1011.4,1011.5,1011.8,,,,,,,,,,,
20200217 11:27:06.187,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.6,1011.6,1011.7,1011.7,1011.7,1011.6,1011.4,1011.7,,,,,,,,,,,
20200217 11:27:06.406,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.6,1011.7,1011.7,1011.7,1011.6,1011.6,1011.6,1011.7,1011.7,1011.6,1011.7,1011.4,1011.9,,,,,,,,,,,
20200217 11:27:06.609,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.6,1011.7,1011.7,1011.6,1011.6,1011.6,1011.9,,,,,,,,,,,
20200217 11:27:06.812,0.5,9,36.1,1010.7,1010.9,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.6,1011.7,1011.5,1011.5,1011.7,1011.7,,,,,,,,,,,
20200217 11:27:07.031,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.4,1011.7,,,,,,,,,,,
20200217 11:27:07.234,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.6,1011.6,1011.6,1011.7,1011.5,1011.6,1011.5,1011.7,,,,,,,,,,,
20200217 11:27:07.453,0.5,9,36.1,1010.7,1010.9,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1011,1011,1011.6,1011.6,1011.7,1011.7,1011.7,1011.6,1011.7,1011.6,1011.7,1011.6,1011.5,1011.6,1011.6,1011.8,,,,,,,,,,,
20200217 11:27:07.656,0.5,9,36.1,1010.7,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1010.9,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.6,1011.6,1011.6,1011.6,1011.8,,,,,,,,,,,
20200217 11:27:07.875,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.8,1010.9,1010.9,1011,1011,1011.7,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.7,1011.8,1011.6,1011.6,1011.8,,,,,,,,,,,
20200217 11:27:08.078,0.5,9,36.1,1010.7,1010.9,1010.8,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1010.9,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.5,1011.8,,,,,,,,,,,
20200217 11:27:08.296,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1010.9,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.6,1011.7,1011.6,1011.6,1011.9,,,,,,,,,,,
20200217 11:27:08.500,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.8,1010.9,1010.9,1011,1010.9,1011.7,1011.7,1011.7,1011.7,1011.7,1011.6,1011.6,1011.7,1011.7,1011.7,1011.8,1011.6,1011.6,1011.7,,,,,,,,,,,
20200217 11:27:08.703,0.5,9,36.1,1010.6,1010.9,1010.8,1010.9,1010.8,1010.9,1010.9,1010.9,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.6,1011.4,1011.7,,,,,,,,,,,
20200217 11:27:08.921,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.8,1010.9,1010.9,1011,1010.9,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.7,1011.4,1011.7,1011.6,1011.8,,,,,,,,,,,
20200217 11:27:09.125,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.8,1010.9,1010.9,1011,1010.9,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.7,1011.5,1011.7,1011.5,1011.7,,,,,,,,,,,
20200217 11:27:09.328,0.5,9,36.1,1010.7,1010.8,1010.8,1010.9,1010.9,1010.8,1010.9,1010.9,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.5,1011.4,1011.9,,,,,,,,,,,
20200217 11:27:09.546,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.6,1011.7,1011.7,1011.7,1011.6,1011.6,1011.6,1011.6,,,,,,,,,,,
20200217 11:27:09.750,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.8,1010.9,1010.9,1010.9,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.7,1011.5,1011.7,1011.5,1011.7,,,,,,,,,,,
20200217 11:27:09.953,0.5,9,36.1,1010.7,1010.9,1010.8,1010.9,1010.9,1010.8,1010.9,1010.9,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.6,1011.7,1011.5,1011.6,1011.7,,,,,,,,,,,
20200217 11:27:10.156,0.5,9,36.1,1010.6,1010.9,1010.8,1010.8,1010.9,1010.8,1010.9,1010.8,1011,1011,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.5,1011.6,1011.8,,,,,,,,,,,
20200217 11:27:10.375,0.5,9,36.1,1010.6,1010.8,1010.8,1010.8,1010.9,1010.8,1010.8,1010.8,1010.9,1010.9,1011.6,1011.7,1011.7,1011.6,1011.7,1011.6,1011.7,1011.6,1011.7,1011.7,1011.5,1011.5,1011.6,1011.7,,,,,,,,,,,
20200217 11:27:10.578,0.5,9,36.1,1010.6,1010.9,1010.8,1010.8,1010.9,1010.8,1010.8,1010.8,1010.9,1010.9,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.6,1011.7,1011.7,1011.6,1011.9,1011.5,1011.5,1011.7,,,,,,,,,,,
20200217 11:27:10.781,0.5,9,36.1,1010.6,1010.8,1010.8,1010.8,1010.8,1010.8,1010.8,1010.8,1010.9,1010.9,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.6,1011.6,1011.7,1011.6,1011.9,1011.6,1011.6,1011.7,,,,,,,,,,,
20200217 11:27:11.000,0.5,9,36.1,1010.6,1010.8,1010.7,1010.8,1010.7,1010.8,1010.8,1010.8,1010.9,1010.9,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.7,1011.7,1011.6,1011.6,1011.6,1011.4,1011.9,,,,,,,,,,,
20200217 11:27:11.203,0.5,9,36.1,1010.6,1010.8,1010.7,1010.8,1010.8,1010.8,1010.8,1010.8,1010.9,1010.9,1011.6,1011.7,1011.7,1011.6,1011.7,1011.6,1011.7,1011.6,1011.7,1011.6,1011.6,1011.5,1011.6,1011.8,,,,,,,,,,,
20200217 11:27:11.421,0.5,9,36.1,1010.6,1010.8,1010.8,1010.8,1010.8,1010.8,1010.8,1010.8,1010.9,1010.9,1011.6,1011.7,1011.6,1011.6,1011.7,1011.6,1011.6,1011.6,1011.7,1011.6,1011.5,1011.5,1011.4,1011.7,,,,,,,,,,,
20200217 11:27:11.625,0.5,9,36.1,1010.6,1010.8,1010.7,1010.8,1010.8,1010.8,1010.8,1010.8,1010.9,1010.9,1011.6,1011.7,1011.7,1011.6,1011.7,1011.6,1011.6,1011.6,1011.7,1011.6,1011.6,1011.6,1011.6,1011.7,,,,,,,,,,,
20200217 11:27:11.843,0.5,9,36.1,1010.6,1010.8,1010.7,1010.8,1010.8,1010.8,1010.8,1010.8,1010.9,1010.9,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.6,1011.6,1011.7,1011.6,1011.5,1011.6,1011.6,1011.6,,,,,,,,,,,
20200217 11:27:12.046,0.5,9,36.1,1010.6,1010.8,1010.8,1010.8,1010.8,1010.8,1010.8,1010.8,1010.9,1010.9,1011.6,1011.7,1011.7,1011.7,1011.7,1011.6,1011.7,1011.6,1011.7,1011.6,1011.5,1011.5,1011.5,1011.7,,,,,,,,,,,
